Product_Name,Price,Monthly_Purchases,Ratings,Brand
"Lipton Black Tea Soft , 500 gm",105.0,10000,4.4,Lipton Black
"JUHAYNA Carton Full Cream Milk Multipack 1 L Ultra Edge - 6 Pack, Save 10 LE",295.0,10000,4.5,JUHAYNA Carton
"Al Doha Egyptian Flour, 1 kg (Pack of 1)",24.95,7000,4.6,Al Doha
Al Doha Egyptian Rice-1 kg,37.95,9000,4.6,Al Doha
"Afia sunflower oil, 2.2 liters",203.45,6000,4.6,Afia sunflower
Nescafe Classic Instant Coffee Pouch 200g,233.25,9000,4.5,Nescafe Classic
"Elano water bottle, 12 pieces - 1.50 liter Package design may vary",82.95,6000,3.9,Elano water
"Lipton Green Tea Mint, 25 teabags",28.0,5000,4.5,Lipton Green
Helwa mixed oil - 2.25 l,157.95,3000,4.5,Helwa mixed
AL SA`A El Egyptian White Rice - 1 Kg,33.5,3000,4.5,AL SA`A
El Matbakh Pasta Penne 400G,14.98,3000,4.4,El Matbakh
Imtenan parsely and celery tea- 18 bags,33.5,4000,4.5,Imtenan parsely
"Afia corn oil, Yellow, 2.2 liters - Package May Vary",234.95,3000,4.6,Afia corn
"Lipton Yellow Label Black Tea with sun dried tea leaves, Classic, for a Rich Natural Taste, 100 Tea Bags",104.95,3000,4.4,Lipton Yellow
Afia corn oil plus Yellow 2.2 liter pack may vary,221.95,3000,4.4,Afia corn
"Lipton Kharaz Premium Loose Black Tea, 250G",70.0,3000,4.3,Lipton Kharaz
Elmatbakh Elmasry El el masry rice pasta - 400 gm,12.95,2000,4.4,Elmatbakh Elmasry
"El Matbakh Elmasry Vermicelli Pasta, 400 gm",12.95,3000,4.5,El Matbakh
VCOLA V7 super soda,12.75,2000,4.4,VCOLA V7
Knorr Potato Seasoning (Pack Of 10),37.56,3000,4.6,Knorr Potato
Organo Natural Vinegar With 5% Acidity 900 ML - Clear,12.83,2000,4.6,Organo Natural
El maleka vermecelli -1kg,32.95,2000,4.5,El maleka
Italiano penne - 400gm,21.95,2000,4.5,Italiano penne
Prima Frutta Blackberries Jam - 340 gm,155.0,10,4.6,Prima Frutta
Ronnefeldt Lemonsky - Infused - Teavelope,330.0,10,4.5,Ronnefeldt Lemonsky
"Aldoha White Sugar, 1 KG",40.5,2000,4.6,Aldoha White
Knorr Chicken Stock 24 Cubes,30.0,2000,4.5,Knorr Chicken
VCOLA V Super Soda Diet Can 300ml,13.45,1000,4.4,VCOLA V
Harvest tomato paste - 320 grams,23.95,1000,4.5,Harvest tomato
Cadbury 3-in-1 Hot Chocolate Powder Beverage Jar (300g),91.2,2000,4.3,Cadbury 3-in-1
Cadbury Mandolin Biscuit Covered with Caramel and Chocolate (20g) pack of 12,60.0,1000,4.3,Cadbury Mandolin
Almarai plain milk 1L Full Cream,44.95,2000,4.6,Almarai plain
Bonjorno Coffee Mix 2in1 12g- 12 sachet,70.0,2000,4.3,Bonjorno Coffee
"El arosa dust tea, 250 g (Pack of 1)",53.95,2000,4.4,El arosa
Nescafe Gold Pouch 190g,419.0,2000,4.6,Nescafe Gold
"El Maleka Penne, 400 g",13.25,1000,4.5,El Maleka
"Knorr Vegetar big size, 250G",34.0,2000,4.5,Knorr Vegetar
El maleka spaghetti 1kg,32.95,2000,4.5,El maleka
Italiano fettucini 400gm,21.95,2000,4.5,Italiano fettucini
"Heinz tomato paste 360 gm, set of 2-10% off",67.5,1000,4.4,Heinz tomato
Mandolin Wafer Covered with Chocolate (33g) Pack of 12,120.0,1000,4.0,Mandolin Wafer
El Maleka Risoni - 400 Grams,13.25,1000,4.5,El Maleka
Rawaby keshta ghee 1.5 kg,149.2,1000,4.4,Rawaby keshta
Nescafe 3in1 Rich 21g - 12 sachet,82.95,1000,4.3,Nescafe 3in1
Rehana natural vinegar - 1 l,14.95,2000,4.6,Rehana natural
Date Biscuit - 12 Pack,86.59,1000,4.0,Date Biscuit
Juhayna mix chocolate milk - 200 ml,9.95,1000,4.5,Juhayna mix
"Imtenan clover blossom - pure bee honey, 800 gm",214.25,1000,4.5,Imtenan clover
"Abu Auf Peanut Butter, 330 gm",117.53,1000,4.2,Abu Auf
Hanady Mixed Oil 2.1 Liter packaging may vary,153.25,1000,4.4,Hanady Mixed
"Maggi Chicken Stock, Bouillon, 12 cubes - 108g",15.2,1000,4.5,Maggi Chicken
Knorr Instant Chicken Stock (Pack Of 10),31.0,1000,4.5,Knorr Instant
Imtenan Digest Aid Tea (18 Teabag),47.0,1000,4.4,Imtenan Digest
Rehana Egyptian White Rice - 1 Kg,36.0,2000,4.6,Rehana Egyptian
Limitless Kids Multigummies,309.71,1000,4.4,Limitless Kids
"Lavazza ground coffee blend, crema e gusto classico, arabica & robusta - dark roast, 250 g",400.67,1000,4.2,Lavazza ground
Cadbury Double Chocolate Delight Biscuits - 1 Pcs (25.5g) pack of 12,87.75,1000,4.4,Cadbury Double
Al-Asil Sunflower Oil 2.25 Liter,188.95,1000,4.3,Al-Asil Sunflower
"Knorr Vegetar Hot Big Size, for spicy & crunchy recipes 250G",29.75,1000,4.6,Knorr Vegetar
